Row Labels,Count of ALL,HMDB Class,HMDB Class 2,Note
Acetylglycine,13,Acyl Glycines,,
Sulfolithocholylglycine,10,Acyl Glycines,Bile Acids,
Glutarylglycine,8,Acyl Glycines,,
2-Methylbutyrylglycine,6,Acyl Glycines,,
3-Phenylpropionylglycine,6,Acyl Glycines,,
Isovalerylglycine,6,Acyl Glycines,,
Phenylpropionylglycine,6,Acyl Glycines,,
Valerylglycine,6,Acyl Glycines,,
D-Glyceraldehyde 3-phosphate,6,Acyl Phosphates,,
Dihydroxyacetone phosphate2,6,Acyl Phosphates,,
Glycolaldehyde,24,Alcohols and Polyols,Aldehydes,
"3, 4-Dihydroxyphenylglycol",19,Alcohols and Polyols,Polyphenols,
Phenol,17,Alcohols and Polyols,,
Vanylglycol,15,Alcohols and Polyols,Polyphenols,
"Propane-1, 2-diol",13,Alcohols and Polyols,,
Propylene glycol,13,Alcohols and Polyols,,
Tyrosol,13,Alcohols and Polyols,,
Isopropyl alcohol,9,Alcohols and Polyols,,
Propyl alcohol,9,Alcohols and Polyols,,
Solerole,8,Alcohols and Polyols,,
Cinnamaldehyde,21,Aldehydes,,
Propanal,11,Aldehydes,,
N-Methylformamide,10,Aldehydes,,
Acetaldehyde,6,Aldehydes,,
Formaldehyde,5,Aldehydes,,
Isovaleraldehyde,5,Aldehydes,,
Trimethylamine oxide,26,Aliphatic and Aryl Amines,,
Dimethylamine,8,Aliphatic and Aryl Amines,,
Trimethylamine,7,Aliphatic and Aryl Amines,,
Vaporole,14,Alky Nitrates ,Oxoazaniums,
N-Acetylglutamine,22,Amino Acids,,
Trigonelline,21,Amino Acids,Aromatic Acids,
Homocitrulline,16,Amino Acids,,
5-Aminopentanoic acid,14,Amino Acids,,
Guanidoacetic acid,14,Amino Acids,,
L-Valine,14,Amino Acids,,
N-Methyl-a-aminoisobutyric a,14,Amino Acids,,
L-2-Amino-3-oxobutanoate,13,Amino Acids,,
L-Asparagine,13,Amino Acids,,
Nicotinic acid,13,Amino Acids,,
Picolinic acid,13,Amino Acids,Aromatic Acids,
Ureidopropionic acid,13,Amino Acids,,
Carbamic acid,12,Amino Acids,,
Imidazolepropionic acid,12,Amino Acids,,
pi-Methylimidazoleacetic aci,12,Amino Acids,,
D-Ornithine,11,Amino Acids,,
Glycine,11,Amino Acids,,
Ornithine,11,Amino Acids,,
Saccharopine,10,Amino Acids,,
Gabapentin,9,Amino Acids,,
Ureidoglycolic acid,9,Amino Acids,,
beta-Leucine,8,Amino Acids,,
Cystathionine ketimine,8,Amino Acids,,
L-Isoleucine,8,Amino Acids,,
L-Leucine,8,Amino Acids,,
L-Norleucine,8,Amino Acids,,
N-Acetylglutamic acid,8,Amino Acids,,
Homocysteine thiolactone,7,Amino Acids,,
L-Tryptophan,7,Amino Acids,,
L-Proline,6,Amino Acids,,
N6-Acetyl-L-lysine,6,Amino Acids,,
N-Acetyl-L-phenylalanine,6,Amino Acids,,
