Row Labels,Count of ALL,HMDB Class,HMDB Class 2,Note
N-Acetylglutamine,22,Amino Acids,,
Trigonelline,21,Amino Acids,Aromatic Acids,
Homocitrulline,16,Amino Acids,,
5-Aminopentanoic acid,14,Amino Acids,,
Guanidoacetic acid,14,Amino Acids,,
Azelaic acid,14,Dicarboxylic Acids,,
2-Methylglutaconic acid,12,Dicarboxylic Acids,,
3-Hexenedioic acid,12,Dicarboxylic Acids,,
3-Methylglutaconic acid,12,Dicarboxylic Acids,,
2-Octenedioic acid,11,Dicarboxylic Acids,,
Carbon Dioxide,22,Inorganic Ions and Gases,,
Dimethylsulfide,19,Inorganic Ions and Gases,,
Phosphoric acid,15,Inorganic Ions and Gases,,
2-Ethyl-2-Hydroxybutyric aci,23,Hydroxy Acids,,
2-Hydroxy-3-methylpentanoic,23,Hydroxy Acids,,
L-Valine,14,Amino Acids,,
N-Methyl-a-aminoisobutyric a,14,Amino Acids,,
L-2-Amino-3-oxobutanoate,13,Amino Acids,,
L-Asparagine,13,Amino Acids,,
Nicotinic acid,13,Amino Acids,,
3-Hydroxysuberic acid,11,Dicarboxylic Acids,,
cis-4-Octenedioic acid,11,Dicarboxylic Acids,,
Methylmalonic acid,11,Dicarboxylic Acids,,
Succinic acid,11,Dicarboxylic Acids,,
L-Malic acid,9,Dicarboxylic Acids,,
Hydrogen peroxide,10,Inorganic Ions and Gases,,
Nitrate,10,Inorganic Ions and Gases,,
Peroxynitrite,10,Inorganic Ions and Gases,Oxoazaniums,
2-Hydroxycaproic acid,23,Hydroxy Acids,,
5-Hydroxyhexanoic acid,23,Hydroxy Acids,,
Picolinic acid,13,Amino Acids,Aromatic Acids,
Ureidopropionic acid,13,Amino Acids,,
Carbamic acid,12,Amino Acids,,
Imidazolepropionic acid,12,Amino Acids,,
pi-Methylimidazoleacetic aci,12,Amino Acids,,
Malic acid,9,Dicarboxylic Acids,,
2-Methylglutaric acid,8,Dicarboxylic Acids,,
Adipic acid,8,Dicarboxylic Acids,,
Methylglutaric acid,8,Dicarboxylic Acids,,
Monomethyl glutaric acid,8,Dicarboxylic Acids,,
Cobalt,8,Inorganic Ions and Gases,,
Phosphorus,6,Inorganic Ions and Gases,,
Boron,5,Inorganic Ions and Gases,,
D-Leucic acid,23,Hydroxy Acids,,
Hydroxyisocaproic acid,23,Hydroxy Acids,,
D-Ornithine,11,Amino Acids,,
Glycine,11,Amino Acids,,
Ornithine,11,Amino Acids,,
Saccharopine,10,Amino Acids,,
Gabapentin,9,Amino Acids,,
"2, 2-Dimethylsuccinic acid",7,Dicarboxylic Acids,,
Citraconic acid,7,Dicarboxylic Acids,,
Glutaconic acid,7,Dicarboxylic Acids,,
Itaconic acid,7,Dicarboxylic Acids,,
Mesaconic acid,7,Dicarboxylic Acids,,
Carbon monoxide,5,Inorganic Ions and Gases,,
Carbonic acid,5,Inorganic Ions and Gases,,
Dimethyl sulfone,5,Inorganic Ions and Gases,,
Leucinic acid,23,Hydroxy Acids,,
"2, 3-Dihydroxyvaleric acid",18,Hydroxy Acids,,
Ureidoglycolic acid,9,Amino Acids,,
beta-Leucine,8,Amino Acids,,
Cystathionine ketimine,8,Amino Acids,,
L-Isoleucine,8,Amino Acids,,
L-Leucine,8,Amino Acids,,
Citramalic acid,6,Dicarboxylic Acids,,
D-2-Hydroxyglutaric acid,6,Dicarboxylic Acids,,
Fumaric acid,6,Dicarboxylic Acids,,
L-2-Hydroxyglutaric acid,6,Dicarboxylic Acids,,
Maleic acid,6,Dicarboxylic Acids,,
2-Methylacetoacetic acid,18,Keto- Acids,,
2-Oxovaleric acid,18,Keto- Acids,,
a-Ketoisovaleric acid,18,Keto- Acids,,
