samdt750-112,Schumer (D-NY),Brown (R-MA),Nelson (D-FL),McCaskill (D-MO),Klobuchar (D-MN),Graham (R-SC),Blumenthal (D-CT),Kerry (D-MA),Gillibrand (D-NY),Murray (D-WA),Webb (D-VA),Reid (D-NV),Sanders (I-VT),Nelson (D-NE),Whitehouse (D-RI),Leahy (D-VT),Durbin (D-IL),Rockefeller (D-WV),Coons (D-DE),Harkin (D-IA),Baucus (D-MT),Menendez (D-NJ),Boxer (D-CA),Lieberman (ID-CT),Lautenberg (D-NJ),Kohl (D-WI),Tester (D-MT),Bingaman (D-NM),Warner (D-VA),Cantwell (D-WA),Casey (D-PA),Landrieu (D-LA),Inouye (D-HI),Conrad (D-ND),Franken (D-MN),Feinstein (D-CA),Manchin (D-WV),Merkley (D-OR),Hagan (D-NC),Udall (D-CO),Mikulski (D-MD),Levin (D-MI),Akaka (D-HI),Pryor (D-AR),Wyden (D-OR),Begich (D-AK),Stabenow (D-MI),Hatch (R-UT),Bennet (D-CO),Udall (D-NM),Carper (D-DE),Reed (D-RI),Brown (D-OH),Johnson (D-SD),Snowe (R-ME),Cardin (D-MD),Shaheen (D-NH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s223-112,Hutchison (R-TX),Alexander (R-TN),Klobuchar (D-MN),Graham (R-SC),Lugar (R-IN),Reid (D-NV),Leahy (D-VT),Conrad (D-ND),Harkin (D-IA),Boxer (D-CA),Moran (R-KS),Murkowski (R-AK),Coats (R-IN),Bingaman (D-NM),Cantwell (D-WA),Casey (D-PA),Enzi (R-WY),Feinstein (D-CA),Bennet (D-CO),Reed (D-RI),Collins (R-ME),Rubio (R-FL),Chambliss (R-GA),McConnell (R-KY),Barrasso (R-WY),Roberts (R-KS),McCaskill (D-MO),Gillibrand (D-NY),Murray (D-WA),Inhofe (R-OK),Sessions (R-AL),Coburn (R-OK),Baucus (D-MT),Lautenberg (D-NJ),Franken (D-MN),Kirk (R-IL),Rockefeller (D-WV),Burr (R-NC),Udall (D-NM),Manchin (D-WV),Levin (D-MI),Merkley (D-OR),Schumer (D-NY),Ayotte (R-NH),Brown (R-MA),Blumenthal (D-CT),Mikulski (D-MD),Whitehouse (D-RI),Lieberman (ID-CT),Pryor (D-AR),Stabenow (D-MI),Hoeven (R-ND),Blunt (R-MO),Landrieu (D-LA),Inouye (D-HI),Isakson (R-GA),Akaka (D-HI),Grassley (R-IA),Portman (R-OH),Carper (D-DE),Shelby (R-AL),Brown (D-OH),Johanns (R-NE),Shaheen (D-NH),Cornyn (R-TX),Boozman (R-AR),Nelson (D-FL),Webb (D-VA),Ensign (R-NV),Nelson (D-NE),Durbin (D-IL),Menendez (D-NJ),Kohl (D-WI),Tester (D-MT),Cochran (R-MS),Warner (D-VA),Hatch (R-UT),Wicker (R-MS),Thune (R-SD),Snowe (R-ME),Hagan (D-NC),Udall (D-CO),Wyden (D-OR),Begich (D-AK),Johnson (D-SD),Kyl (R-AZ),Cardin (D-MD),,,,,,,,,,,,,
samdt183-112,Barrasso (R-WY),Cornyn (R-TX),Alexander (R-TN),Ayotte (R-NH),Brown (R-MA),Crapo (R-ID),Roberts (R-KS),Graham (R-SC),Lugar (R-IN),McCain (R-AZ),Inhofe (R-OK),Ensign (R-NV),Vitter (R-LA),Nelson (D-NE),Risch (R-ID),Coburn (R-OK),Toomey (R-PA),Sessions (R-AL),Pryor (D-AR),McConnell (R-KY),Hutchison (R-TX),Moran (R-KS),Murkowski (R-AK),Wicker (R-MS),Coats (R-IN),DeMint (R-SC),Paul (R-KY),Cochran (R-MS),Lee (R-UT),Hatch (R-UT),Corker (R-TN),Hoeven (R-ND),Blunt (R-MO),Enzi (R-WY),Landrieu (D-LA),Thune (R-SD),Isakson (R-GA),Snowe (R-ME),Kyl (R-AZ),Burr (R-NC),Grassley (R-IA),Boozman (R-AR),Johnson (R-WI),Portman (R-OH),Shelby (R-AL),Manchin (D-WV),Rubio (R-FL),Chambliss (R-GA),Kirk (R-IL),Johanns (R-NE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sres8-112,Begich (D-AK),Durbin (D-IL),Harkin (D-IA),Lautenberg (D-NJ),Udall (D-NM),Blumenthal (D-CT),Kerry (D-MA),Lieberman (ID-CT),Gillibrand (D-NY),Kohl (D-WI),Mikulski (D-MD),Shaheen (D-NH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samdt642-112,Cornyn (R-TX),Alexander (R-TN),Ayotte (R-NH),Crapo (R-ID),Roberts (R-KS),Lugar (R-IN),McCain (R-AZ),Inhofe (R-OK),Vitter (R-LA),Sessions (R-AL),Risch (R-ID),Coburn (R-OK),Toomey (R-PA),McConnell (R-KY),Hutchison (R-TX),Moran (R-KS),Murkowski (R-AK),Coats (R-IN),DeMint (R-SC),Paul (R-KY),Cochran (R-MS),Heller (R-NV),Lee (R-UT),Hatch (R-UT),Corker (R-TN),Hoeven (R-ND),Blunt (R-MO),Wicker (R-MS),Thune (R-SD),Isakson (R-GA),Kyl (R-AZ),Burr (R-NC),Grassley (R-IA),Boozman (R-AR),Johnson (R-WI),Shelby (R-AL),Rubio (R-FL),Chambliss (R-GA),Kirk (R-IL),Johanns (R-NE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samdt149-112,Schumer (D-NY),Klobuchar (D-MN),Blumenthal (D-CT),Kerry (D-MA),Gillibrand (D-NY),Murray (D-WA),Reid (D-NV),Whitehouse (D-RI),Leahy (D-VT),Durbin (D-IL),Rockefeller (D-WV),Coons (D-DE),Harkin (D-IA),Baucus (D-MT),Menendez (D-NJ),Boxer (D-CA),Lieberman (ID-CT),Lautenberg (D-NJ),Tester (D-MT),Bingaman (D-NM),Warner (D-VA),Cantwell (D-WA),Casey (D-PA),Landrieu (D-LA),Inouye (D-HI),Conrad (D-ND),Franken (D-MN),Feinstein (D-CA),Merkley (D-OR),Mikulski (D-MD),Akaka (D-HI),Pryor (D-AR),Wyden (D-OR),Begich (D-AK),Stabenow (D-MI),Udall (D-NM),Carper (D-DE),Reed (D-RI),Brown (D-OH),Johnson (D-SD),Cardin (D-MD),Shaheen (D-NH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sres159-112,Hutchison (R-TX),Alexander (R-TN),Klobuchar (D-MN),Graham (R-SC),Lugar (R-IN),Reid (D-NV),Leahy (D-VT),Conrad (D-ND),Coons (D-DE),Harkin (D-IA),Boxer (D-CA),Moran (R-KS),Murkowski (R-AK),Coats (R-IN),Paul (R-KY),Bingaman (D-NM),Lee (R-UT),Cantwell (D-WA),Corker (R-TN),Casey (D-PA),Enzi (R-WY),Feinstein (D-CA),Bennet (D-CO),McCain (R-AZ),Reed (D-RI),Collins (R-ME),Rubio (R-FL),Chambliss (R-GA),McConnell (R-KY),Barrasso (R-WY),Vitter (R-LA),Crapo (R-ID),Roberts (R-KS),McCaskill (D-MO),Kerry (D-MA),Gillibrand (D-NY),Murray (D-WA),Inhofe (R-OK),Sessions (R-AL),Coburn (R-OK),Baucus (D-MT),Wicker (R-MS),Franken (D-MN),Rockefeller (D-WV),Burr (R-NC),Boozman (R-AR),Johnson (R-WI),Manchin (D-WV),Levin (D-MI),Merkley (D-OR),Schumer (D-NY),Ayotte (R-NH),Brown (R-MA),Blumenthal (D-CT),Mikulski (D-MD),Risch (R-ID),Whitehouse (D-RI),Lieberman (ID-CT),Pryor (D-AR),Stabenow (D-MI),Hoeven (R-ND),Blunt (R-MO),Landrieu (D-LA),Inouye (D-HI),Isakson (R-GA),Grassley (R-IA),Portman (R-OH),Carper (D-DE),Shelby (R-AL),Brown (D-OH),Johanns (R-NE),Shaheen (D-NH),Cornyn (R-TX),Udall (D-NM),Nelson (D-FL),Webb (D-VA),Sanders (I-VT),Nelson (D-NE),Durbin (D-IL),Menendez (D-NJ),Kohl (D-WI),DeMint (R-SC),Tester (D-MT),Cochran (R-MS),Warner (D-VA),Hatch (R-UT),Lautenberg (D-NJ),Thune (R-SD),Snowe (R-ME),Hagan (D-NC),Toomey (R-PA),Udall (D-CO),Wyden (D-OR),Begich (D-AK),Johnson (D-SD),Kyl (R-AZ),Cardin (D-MD),,,
sres14-112,Hutchison (R-TX),Alexander (R-TN),Klobuchar (D-MN),Graham (R-SC),Lugar (R-IN),Reid (D-NV),Leahy (D-VT),Conrad (D-ND),Coons (D-DE),Harkin (D-IA),Boxer (D-CA),Moran (R-KS),Murkowski (R-AK),Coats (R-IN),Paul (R-KY),Bingaman (D-NM),Lee (R-UT),Cantwell (D-WA),Corker (R-TN),Casey (D-PA),Enzi (R-WY),Bennet (D-CO),McCain (R-AZ),Reed (D-RI),Collins (R-ME),Rubio (R-FL),Chambliss (R-GA),McConnell (R-KY),Barrasso (R-WY),Vitter (R-LA),Crapo (R-ID),Roberts (R-KS),McCaskill (D-MO),Kerry (D-MA),Gillibrand (D-NY),Murray (D-WA),Inhofe (R-OK),Sessions (R-AL),Coburn (R-OK),Baucus (D-MT),Wicker (R-MS),Franken (D-MN),Kirk (R-IL),Burr (R-NC),Boozman (R-AR),Johnson (R-WI),Manchin (D-WV),Levin (D-MI),Merkley (D-OR),Schumer (D-NY),Ayotte (R-NH),Brown (R-MA),Blumenthal (D-CT),Mikulski (D-MD),Risch (R-ID),Whitehouse (D-RI),Lieberman (ID-CT),Pryor (D-AR),Stabenow (D-MI),Hoeven (R-ND),Blunt (R-MO),Landrieu (D-LA),Inouye (D-HI),Isakson (R-GA),Akaka (D-HI),Grassley (R-IA),Portman (R-OH),Carper (D-DE),Shelby (R-AL),Brown (D-OH),Johanns (R-NE),Shaheen (D-NH),Cornyn (R-TX),Udall (D-NM),Nelson (D-FL),Ensign (R-NV),Sanders (I-VT),Nelson (D-NE),Durbin (D-IL),Menendez (D-NJ),Kohl (D-WI),DeMint (R-SC),Tester (D-MT),Cochran (R-MS),Warner (D-VA),Hatch (R-UT),Lautenberg (D-NJ),Thune (R-SD),Snowe (R-ME),Hagan (D-NC),Toomey (R-PA),Udall (D-CO),Wyden (D-OR),Begich (D-AK),Johnson (D-SD),Kyl (R-AZ),Cardin (D-MD),,,
samdt650-112,Cornyn (R-TX),Alexander (R-TN),Ayotte (R-NH),Brown (R-MA),Crapo (R-ID),Roberts (R-KS),Graham (R-SC),Lugar (R-IN),McCain (R-AZ),Inhofe (R-OK),Vitter (R-LA),Sessions (R-AL),Risch (R-ID),Coburn (R-OK),Murkowski (R-AK),McConnell (R-KY),Toomey (R-PA),Hutchison (R-TX),Moran (R-KS),Lieberman (ID-CT),Coats (R-IN),DeMint (R-SC),Cochran (R-MS),Heller (R-NV),Lee (R-UT),Hatch (R-UT),Hoeven (R-ND),Blunt (R-MO),Wicker (R-MS),Thune (R-SD),Isakson (R-GA),Snowe (R-ME),Kyl (R-AZ),Burr (R-NC),Grassley (R-IA),Boozman (R-AR),Johnson (R-WI),Portman (R-OH),Shelby (R-AL),Collins (R-ME),Rubio (R-FL),Chambliss (R-GA),Kirk (R-IL),Johanns (R-NE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr3079-112,Barrasso (R-WY),Cornyn (R-TX),Schumer (D-NY),Menendez (D-NJ),Alexander (R-TN),Ayotte (R-NH),Brown (R-MA),Crapo (R-ID),Roberts (R-KS),McCaskill (D-MO),Klobuchar (D-MN),Graham (R-SC),Lugar (R-IN),Kerry (D-MA),Murray (D-WA),Inhofe (R-OK),Vitter (R-LA),Webb (D-VA),Nelson (D-NE),Risch (R-ID),Kohl (D-WI),Wicker (R-MS),McConnell (R-KY),Leahy (D-VT),Conrad (D-ND),Sessions (R-AL),Coons (D-DE),Baucus (D-MT),Toomey (R-PA),Hutchison (R-TX),Nelson (D-FL),Moran (R-KS),Lieberman (ID-CT),Lautenberg (D-NJ),Coats (R-IN),DeMint (R-SC),Johnson (D-SD),Cochran (R-MS),Heller (R-NV),Bingaman (D-NM),Lee (R-UT),Cantwell (D-WA),Corker (R-TN),Hoeven (R-ND),Blunt (R-MO),Enzi (R-WY),Landrieu (D-LA),Thune (R-SD),Rubio (R-FL),Durbin (D-IL),McCain (R-AZ),Feinstein (D-CA),Isakson (R-GA),Snowe (R-ME),Kyl (R-AZ),Udall (D-CO),Levin (D-MI),Pryor (D-AR),Wyden (D-OR),Burr (R-NC),Murkowski (R-AK),Paul (R-KY),Bennet (D-CO),Boozman (R-AR),Johnson (R-WI),Warner (D-VA),Portman (R-OH),Carper (D-DE),Shelby (R-AL),Hatch (R-UT),Collins (R-ME),Grassley (R-IA),Chambliss (R-GA),Kirk (R-IL),Johanns (R-NE),Cardin (D-MD),Shaheen (D-NH),,,,,,,,,,,,,,,,,,,,,,,
